esp,archi,spiegati_medi,quota_archi,quota_spiegata
324,9,72.0,1.2809327467610192e-05,0.2222222222222222
325,2,38.5,2.8465172150244874e-06,0.11846153846153847
326,7,40.142857142857146,9.962810252585706e-06,0.1231375985977213
327,2,44.0,2.8465172150244874e-06,0.1345565749235474
328,6,57.666666666666664,8.539551645073462e-06,0.1758130081300813
329,1,86.0,1.4232586075122437e-06,0.2613981762917933
330,5,98.6,7.116293037561218e-06,0.29878787878787877
331,1,27.0,1.4232586075122437e-06,0.08157099697885196
332,2,177.5,2.8465172150244874e-06,0.5346385542168675
333,2,59.5,2.8465172150244874e-06,0.17867867867867868
334,2,61.5,2.8465172150244874e-06,0.18413173652694612
335,2,47.5,2.8465172150244874e-06,0.1417910447761194
336,3,78.33333333333333,4.269775822536731e-06,0.2331349206349206
337,3,55.333333333333336,4.269775822536731e-06,0.1641938674579624
338,2,60.0,2.8465172150244874e-06,0.17751479289940827
339,1,78.0,1.4232586075122437e-06,0.23008849557522124
340,6,65.0,8.539551645073462e-06,0.19117647058823528
341,1,134.0,1.4232586075122437e-06,0.39296187683284456
342,2,53.0,2.8465172150244874e-06,0.15497076023391812
343,5,53.0,7.116293037561218e-06,0.15451895043731778
344,1,114.0,1.4232586075122437e-06,0.3313953488372093
345,3,65.0,4.269775822536731e-06,0.18840579710144928
346,5,166.0,7.116293037561218e-06,0.4797687861271676
347,3,128.0,4.269775822536731e-06,0.3688760806916426
348,2,28.0,2.8465172150244874e-06,0.08045977011494253
349,2,71.0,2.8465172150244874e-06,0.2034383954154728
351,2,42.5,2.8465172150244874e-06,0.12108262108262108
352,2,45.0,2.8465172150244874e-06,0.1278409090909091
353,3,58.0,4.269775822536731e-06,0.1643059490084986
354,1,38.0,1.4232586075122437e-06,0.10734463276836158
355,3,58.333333333333336,4.269775822536731e-06,0.1643192488262911
356,2,71.5,2.8465172150244874e-06,0.20084269662921347
357,2,40.0,2.8465172150244874e-06,0.11204481792717087
358,2,53.5,2.8465172150244874e-06,0.1494413407821229
359,3,51.333333333333336,4.269775822536731e-06,0.14298978644382546
360,4,67.75,5.693034430048975e-06,0.18819444444444444
361,2,24.0,2.8465172150244874e-06,0.0664819944598338
362,4,60.5,5.693034430048975e-06,0.1671270718232044
363,2,31.5,2.8465172150244874e-06,0.08677685950413223
364,3,89.0,4.269775822536731e-06,0.2445054945054945
365,3,95.66666666666667,4.269775822536731e-06,0.26210045662100456
366,2,105.0,2.8465172150244874e-06,0.28688524590163933
367,4,76.75,5.693034430048975e-06,0.20912806539509537
368,4,142.0,5.693034430048975e-06,0.3858695652173913
369,1,49.0,1.4232586075122437e-06,0.13279132791327913
370,5,35.2,7.116293037561218e-06,0.09513513513513515
371,2,79.5,2.8465172150244874e-06,0.21428571428571427
372,1,69.0,1.4232586075122437e-06,0.18548387096774194
373,1,122.0,1.4232586075122437e-06,0.32707774798927614
374,3,74.33333333333333,4.269775822536731e-06,0.19875222816399285
375,2,58.5,2.8465172150244874e-06,0.156
376,1,128.0,1.4232586075122437e-06,0.3404255319148936
377,3,70.33333333333333,4.269775822536731e-06,0.1865605658709107
378,2,47.5,2.8465172150244874e-06,0.12566137566137567
379,1,132.0,1.4232586075122437e-06,0.3482849604221636
380,1,104.0,1.4232586075122437e-06,0.2736842105263158
382,1,61.0,1.4232586075122437e-06,0.15968586387434555
385,2,85.0,2.8465172150244874e-06,0.22077922077922077
386,3,166.0,4.269775822536731e-06,0.43005181347150256
387,2,192.5,2.8465172150244874e-06,0.4974160206718346
389,1,39.0,1.4232586075122437e-06,0.10025706940874037
390,3,77.66666666666667,4.269775822536731e-06,0.19914529914529916
391,2,38.5,2.8465172150244874e-06,0.09846547314578005
395,1,38.0,1.4232586075122437e-06,0.09620253164556962
396,3,62.0,4.269775822536731e-06,0.15656565656565657
397,1,26.0,1.4232586075122437e-06,0.0654911838790932
398,3,133.33333333333334,4.269775822536731e-06,0.33500837520938026
399,1,52.0,1.4232586075122437e-06,0.13032581453634084
400,2,92.5,2.8465172150244874e-06,0.23125
401,3,56.666666666666664,4.269775822536731e-06,0.14131338320864506
403,1,66.0,1.4232586075122437e-06,0.16377171215880892
405,1,60.0,1.4232586075122437e-06,0.14814814814814814
406,1,63.0,1.4232586075122437e-06,0.15517241379310345
407,1,70.0,1.4232586075122437e-06,0.171990171990172
408,1,71.0,1.4232586075122437e-06,0.17401960784313725
411,2,196.5,2.8465172150244874e-06,0.4781021897810219
414,2,81.0,2.8465172150244874e-06,0.1956521739130435
415,3,85.0,4.269775822536731e-06,0.20481927710843373
416,2,95.5,2.8465172150244874e-06,0.22956730769230768
417,1,332.0,1.4232586075122437e-06,0.7961630695443646
420,1,56.0,1.4232586075122437e-06,0.13333333333333333
423,1,66.0,1.4232586075122437e-06,0.15602836879432624
425,1,83.0,1.4232586075122437e-06,0.1952941176470588
427,2,88.0,2.8465172150244874e-06,0.20608899297423888
428,2,105.5,2.8465172150244874e-06,0.24649532710280375
429,1,268.0,1.4232586075122437e-06,0.6247086247086248
431,2,213.5,2.8465172150244874e-06,0.4953596287703016
432,2,84.0,2.8465172150244874e-06,0.19444444444444445
433,1,223.0,1.4232586075122437e-06,0.5150115473441108
434,1,84.0,1.4232586075122437e-06,0.1935483870967742
435,1,200.0,1.4232586075122437e-06,0.45977011494252873
437,1,63.0,1.4232586075122437e-06,0.14416475972540047
440,1,75.0,1.4232586075122437e-06,0.17045454545454544
441,1,76.0,1.4232586075122437e-06,0.17233560090702948
444,1,110.0,1.4232586075122437e-06,0.24774774774774774
445,1,42.0,1.4232586075122437e-06,0.09438202247191012
446,1,78.0,1.4232586075122437e-06,0.17488789237668162
447,1,89.0,1.4232586075122437e-06,0.19910514541387025
448,1,102.0,1.4232586075122437e-06,0.22767857142857142
450,1,77.0,1.4232586075122437e-06,0.1711111111111111
451,1,65.0,1.4232586075122437e-06,0.14412416851441243
457,1,53.0,1.4232586075122437e-06,0.11597374179431072
458,1,122.0,1.4232586075122437e-06,0.2663755458515284
459,1,288.0,1.4232586075122437e-06,0.6274509803921569
460,2,124.5,2.8465172150244874e-06,0.27065217391304347
466,1,43.0,1.4232586075122437e-06,0.09227467811158799
472,1,72.0,1.4232586075122437e-06,0.15254237288135594
479,1,82.0,1.4232586075122437e-06,0.17118997912317327
482,1,91.0,1.4232586075122437e-06,0.1887966804979253
484,2,100.5,2.8465172150244874e-06,0.20764462809917356
494,1,163.0,1.4232586075122437e-06,0.3299595141700405
499,1,96.0,1.4232586075122437e-06,0.19238476953907815
500,1,75.0,1.4232586075122437e-06,0.15
509,1,465.0,1.4232586075122437e-06,0.9135559921414538
510,2,69.5,2.8465172150244874e-06,0.13627450980392156
520,1,99.0,1.4232586075122437e-06,0.19038461538461537
521,1,57.0,1.4232586075122437e-06,0.10940499040307101
525,1,69.0,1.4232586075122437e-06,0.13142857142857142
528,1,146.0,1.4232586075122437e-06,0.2765151515151515
531,1,83.0,1.4232586075122437e-06,0.15630885122410546
532,1,54.0,1.4232586075122437e-06,0.10150375939849623
534,1,150.0,1.4232586075122437e-06,0.2808988764044944
547,1,466.0,1.4232586075122437e-06,0.8519195612431444
548,1,88.0,1.4232586075122437e-06,0.16058394160583941
549,1,124.0,1.4232586075122437e-06,0.22586520947176686
551,1,122.0,1.4232586075122437e-06,0.22141560798548093
552,1,118.0,1.4232586075122437e-06,0.213768115942029
561,1,73.0,1.4232586075122437e-06,0.13012477718360071
568,1,111.0,1.4232586075122437e-06,0.1954225352112676
574,1,77.0,1.4232586075122437e-06,0.13414634146341464
587,1,175.0,1.4232586075122437e-06,0.2981260647359455
603,1,106.0,1.4232586075122437e-06,0.175787728026534
609,1,111.0,1.4232586075122437e-06,0.18226600985221675
