decennio,genere_musicale,quota_legami_intra_genere,artisti,donne,uomini,quota_donne,legami,legami_FF,legami_MM,legami_MF,grado_medio_relativo_F,densita_FF,densita_MM,densita_MF,FF_su_MF,FF_su_MF_lo,FF_su_MF_hi,MM_su_MF,MM_su_MF_lo,MM_su_MF_hi,FF_su_MM,oe_FF_grado,z_FF_grado,oe_MM_grado,z_MM_grado,oe_MF_grado,z_MF_grado,affidabile
1990,Stage & Screen,0.6855921248881376,122,21,101,0.1721311475409836,294,6,203,85,0.9583738257207645,0.02857142857142857,0.0401980198019802,0.040075436115040074,0.7129411764705882,0.31152282624737404,1.631614373913157,1.0030588235294118,0.7786730731298627,1.2921045277912304,0.7107670654468684,1.0197144799456153,0.044197867120673195,0.9473232285522287,-0.9751745814708854,1.1513247006555778,1.075573107901772,False
2000,(all genres),0.637487095402927,22035,2143,19892,0.09725436805082822,98802,1149,83844,13809,0.8381269602370226,0.0005006202200899025,0.0004238058205476432,0.0003239377848032197,1.5454208912183889,1.4551607284540709,1.6412796774357301,1.30829387749592,1.2849547726273247,1.3320568990872448,1.181249043354335,1.7593987725552167,20.033124048258532,1.0038170284980643,3.7751330104042933,0.9442855781080562,-9.151407559008964,True
2000,Electronic,0.637487095402927,6601,690,5911,0.10452961672473868,41945,479,35747,5719,0.7614332260499862,0.002015102753412844,0.002046544327433352,0.001402200270191414,1.437100531393966,1.3091759771064144,1.577525079475964,1.459523558039237,1.4193457672886491,1.5008386719895703,0.9846367490803679,1.818720289172729,13.220562309832271,1.0037460418901887,2.205168518330518,0.9424792659505429,-5.527282894208097,True
2000,Rock,0.637487095402927,3843,197,3646,0.051262034868592245,8070,39,7304,727,0.9729634102617327,0.002020097379053144,0.001099199603902881,0.0010121654772214039,1.9958173090419111,1.4461345102345982,2.7544372275751234,1.0859880411258476,1.0062856076358329,1.1720032727479497,1.8377893986501368,2.0320967069612337,4.552300128349195,1.001431948969748,0.770221156708754,0.9600502870906912,-2.027343346324014,True
2000,Pop,0.637487095402927,2218,332,1886,0.1496844003606853,6082,180,4529,1373,0.9517998003193305,0.003275943653769155,0.002547881781435736,0.002192758307886903,1.493983008517745,1.2789949830806147,1.745108666778133,1.161952857399526,1.0938662661742011,1.2342774291239642,1.2857518263359748,1.4849524815205914,5.1543205928474425,1.0107073835867726,1.2748125559822439,0.9278506572669697,-2.955111356747558,True
2000,"Folk, World, & Country",0.637487095402927,583,50,533,0.08576329331046312,738,12,620,106,1.0269647696476965,0.009795918367346938,0.004373033898065991,0.003977485928705441,2.4628417404697727,1.35573598654569,4.47401964600411,1.0994467300326287,0.8947625561937205,1.3509540646420752,2.2400737327188938,2.1306818181818183,2.857442109445195,1.0126317646251792,2.6316907304831623,0.8825831376663169,-2.995146856738797,True
2000,Classical,0.637487095402927,432,83,349,0.19212962962962962,579,26,399,154,0.9259004931643675,0.007640317367029092,0.006570496986463789,0.005316394517899679,1.437123851757998,0.9484489976635161,2.177581472888504,1.2358934169278997,1.0261916783370477,1.4884475973152858,1.1628218356646831,1.3635410111181034,1.8848073977903423,1.0308639104621062,1.9524938356034496,0.8908016057566608,-2.354977996203667,True
2000,Jazz,0.637487095402927,830,56,774,0.06746987951807229,2519,11,2245,263,0.8384492145409176,0.007142857142857143,0.0075045712700275114,0.0060677371723883355,1.1771863117870722,0.643993232606249,2.151835675431915,1.2367990004869673,1.08848254685954,1.4053250298031221,0.9518008272351256,1.4027033919918388,1.2005891735566905,1.001355063109901,0.7876094704142714,0.9769833132735998,-1.033910824813331,True
2000,Hip Hop,0.637487095402927,458,17,441,0.03711790393013101,2329,2,2257,70,0.4280049503700149,0.014705882352941176,0.02326324469181612,0.009337068160597572,1.575,0.3862256200786998,6.4227354971804616,2.4914935064935064,1.964057422457773,3.160569452766481,0.6321509551982069,2.544529262086514,1.3557624410610716,1.0007040842205328,1.028694619247026,0.9615120463723523,-1.2704217162854405,False
2000,Stage & Screen,0.637487095402927,143,21,122,0.14685314685314685,470,5,382,83,0.6737082066869301,0.023809523809523808,0.05175450480964639,0.03239656518345043,0.7349397590361445,0.2980419340735039,1.8122833992846663,1.597530618341133,1.259981112212967,2.025509788837244,0.46004736973323357,0.7026419336706015,-0.6165638261088732,1.0700220166833798,1.4277367796833986,0.7838915018605617,-1.4837318374028485,False
2010,(all genres),0.524825264732696,24663,2515,22148,0.10197461784859911,85558,1035,72330,12193,0.8173878466502,0.00032739126102573104,0.00029491647902522443,0.0002188961229911483,1.495646686437521,1.403686440157127,1.5936315594821402,1.3472896412932367,1.3216843322388763,1.3733910081700114,1.1101151828064821,1.7122154579142403,19.076463409876308,1.0058327732162626,18.056336665417742,0.9348339540769816,-18.72959909365706,True
2010,Electronic,0.524825264732696,5621,567,5054,0.10087173100871731,19256,228,16518,2510,0.7634939502582488,0.0014209060145455904,0.0012936086818857429,0.0008759018124537186,1.6222206580040262,1.4165501636837994,1.8577526802237823,1.476887778393649,1.416158429623867,1.540221393554008,1.0984048224493062,1.9110842888754778,10.950236079633692,1.00794468862332,4.22838719383605,0.9130951670709508,-7.160939250617792,True
2010,Rock,0.524825264732696,5329,345,4984,0.06474010133233252,12129,47,10952,1130,0.7793868091924852,0.000792045837546343,0.0008819714154932549,0.0006571754251285272,1.2052274130479523,0.9002235559261385,1.6135693268633375,1.3420639022233114,1.2623411329430825,1.4268215386847203,0.8980402580319231,1.4702202202202201,2.536917445359593,1.0028942179192435,0.907640008595529,0.9603633402966758,-1.360360942943726,True
