musical_genre,cohort_decade,n_artisti,n_noti,n_donne,quota_donne,ci_lo,ci_hi,rapporto_uomini_donne
Pop,1990,1782,1551.0,296.0,0.19084461637653127,0.17206052927459545,0.2111563849113898,4.239864864864865
Pop,2000,1345,1151.0,271.0,0.23544743701129453,0.21184100546548087,0.2608139456550885,3.2472324723247232
Pop,2010,780,683.0,152.0,0.2225475841874085,0.19295244250077787,0.25524638529299587,3.4934210526315788
Pop,2020,122,102.0,28.0,0.27450980392156865,0.1972808329068501,0.36810744542605506,2.642857142857143
Reggae,1940,1,0.0,0.0,,,,
Reggae,1960,1,1.0,0.0,0.0,0.0,0.7934567085261071,
Reggae,1970,2,1.0,0.0,0.0,0.0,0.7934567085261071,
Reggae,1980,48,37.0,3.0,0.08108108108108109,0.027960066396321384,0.2130099249850153,11.333333333333334
Reggae,1990,123,82.0,2.0,0.024390243902439025,0.00671422956512354,0.08463541909007394,40.0
Reggae,2000,109,70.0,9.0,0.12857142857142856,0.06914021991242263,0.22664968713184502,6.777777777777778
Reggae,2010,91,54.0,5.0,0.09259259259259259,0.040200542070567336,0.1991012753065453,9.8
Reggae,2020,13,7.0,1.0,0.14285714285714285,0.02567895594897479,0.51313450331903,6.0
Rock,1940,20,12.0,0.0,0.0,0.0,0.2425007574992425,
Rock,1950,61,39.0,2.0,0.05128205128205128,0.014177657646399527,0.1688593904563791,18.5
Rock,1960,429,315.0,17.0,0.05396825396825397,0.033964555741119416,0.08472008264985592,17.529411764705884
Rock,1970,1355,1142.0,68.0,0.0595446584938704,0.047239996040696855,0.07480270165853138,15.794117647058824
Rock,1980,2593,2047.0,119.0,0.05813385442110405,0.04880035548144334,0.0691227449666849,16.201680672268907
Rock,1990,4332,3263.0,251.0,0.07692307692307693,0.06826930439746091,0.0865718730872387,12.0
Rock,2000,4992,3393.0,338.0,0.09961685823754789,0.08998788983795952,0.11015143959088403,9.038461538461538
Rock,2010,4900,3243.0,389.0,0.11995066296638915,0.10921544264684917,0.13158521729295203,7.336760925449871
