step,seconds
composizione report,3.91
compilazione HTML/PDF,8.01
esportazione dataset,76.3
"copia di tabelle, figure, log e codice",0.03
checksum,1.23
archivio tar.gz,25.02
composizione report,3.83
compilazione HTML/PDF,8.05
composizione report,3.84
compilazione HTML/PDF,8.07
esportazione dataset,76.14
"copia di tabelle, figure, log e codice",0.02
checksum,1.24
archivio tar.gz,25.13
composizione report,3.82
compilazione HTML/PDF,8.09
esportazione dataset,76.28
"copia di tabelle, figure, log e codice",0.03
checksum,1.24
archivio tar.gz,25.16
figura fig1_composition,0.2
figura fig2_mixing,0.05
figura fig3_ergm,0.04
figura fig4_role_era,0.04
figura figA1_gof,0.21
composizione paper,0.47
compilazione PDF/DOCX,3.45
composizione paper,0.49
compilazione PDF/DOCX,3.46
composizione paper,0.48
compilazione PDF/DOCX,3.44
composizione paper,0.63
compilazione PDF/DOCX,3.54
composizione paper,0.63
compilazione PDF/DOCX,3.55
composizione paper,0.66
compilazione PDF/DOCX,3.56
composizione paper,0.67
compilazione PDF/DOCX,3.56
composizione paper,2.86
compilazione PDF/DOCX,70.44
logit diadico,3.36
bootstrap sui nodi (B=200),183.74
logit diadico completo,197.87
permutazioni QAP (n=1000),59.96
QAP,60.71
logit diadico,3.25
bootstrap sui nodi (B=200),183.8
logit diadico completo,195.49
permutazioni QAP (n=1000),58.89
QAP,59.65
datazione degli archi,4.57
"periodo 1950s (15,298 archi)",2.71
"periodo 1960s (45,566 archi)",6.02
"periodo 1970s (47,783 archi)",6.4
"periodo 1980s (55,010 archi)",7.19
"periodo 1990s (95,251 archi)",12.04
"periodo 2000s (101,890 archi)",13.07
"periodo 2010s (87,931 archi)",11.94
"periodo 2020s (35,971 archi)",4.93
ERGM gwesp025_gwdeg,45780.46
ERGM gwesp050_stocapp,4406.36
logit diadico,3.91
bootstrap sui nodi (B=200),224.14
logit diadico completo,238.53
permutazioni QAP (n=1000),76.63
QAP,77.64
indici artista-release,15.31
adiacenza,1.31
"partner condivisi, arco per arco",10.48
eigenvector,5.09
betweenness,3270.27
coreness e grado,96.05
OLS eigenvector,0.98
OLS coreness,0.8
OLS betweenness,0.79
indici artista-release,14.27
adiacenza,1.3
"partner condivisi, arco per arco",11.12
permutazione esatta,0.04
passata 1a (derivate),327.49
passata 1b (ricerca di linea),514.37
passata 2a (derivate),337.72
passata finale (errori standard),327.24
logit esatto su tutte le diadi,1506.83
passata 1a (derivate),0.03
"periodo 1930s (163 nodi, 13,203 diadi)",0.03
passata 1a (derivate),0.07
"periodo 1940s (364 nodi, 66,066 diadi)",0.07
passata 1a (derivate),0.56
passata 1b (ricerca di linea),0.69
passata 2a (derivate),0.6
passata 2b (ricerca di linea),0.7
passata 3a (derivate),0.6
passata 3b (ricerca di linea),0.69
passata 4a (derivate),0.61
passata 4b (ricerca di linea),0.7
passata 5a (derivate),0.58
passata 5b (ricerca di linea),0.7
passata 6a (derivate),0.61
passata 6b (ricerca di linea),0.7
passata finale (errori standard),0.65
"periodo 1950s (1,515 nodi, 1,146,855 diadi)",8.43
passata 1a (derivate),3.83
passata 1b (ricerca di linea),4.45
passata 2a (derivate),3.91
passata 2b (ricerca di linea),4.54
passata 3a (derivate),3.86
passata 3b (ricerca di linea),4.4
passata 4a (derivate),3.83
passata 4b (ricerca di linea),4.42
passata 5a (derivate),3.82
passata 5b (ricerca di linea),4.37
passata 6a (derivate),3.87
passata 6b (ricerca di linea),4.44
passata finale (errori standard),3.77
"periodo 1960s (4,812 nodi, 11,575,266 diadi)",53.54
passata 1a (derivate),7.45
passata 1b (ricerca di linea),9.1
passata 2a (derivate),7.51
passata 2b (ricerca di linea),9.06
passata 3a (derivate),7.44
passata 3b (ricerca di linea),9.04
passata 4a (derivate),7.72
passata 4b (ricerca di linea),10.38
passata 5a (derivate),7.65
passata 5b (ricerca di linea),9.28
passata 6a (derivate),7.64
passata 6b (ricerca di linea),9.65
passata finale (errori standard),7.97
"periodo 1970s (7,263 nodi, 26,371,953 diadi)",109.92
passata 1a (derivate),18.41
passata 1b (ricerca di linea),24.56
passata 2a (derivate),18.52
passata 2b (ricerca di linea),24.72
passata 3a (derivate),17.88
passata 3b (ricerca di linea),26.4
passata 4a (derivate),18.3
passata 4b (ricerca di linea),23.6
passata 5a (derivate),18.45
passata 5b (ricerca di linea),25.3
passata finale (errori standard),17.52
"periodo 1980s (11,688 nodi, 68,298,828 diadi)",233.68
passata 1a (derivate),41.87
passata 1b (ricerca di linea),61.82
passata 2a (derivate),41.66
passata 2b (ricerca di linea),56.4
passata 3a (derivate),40.5
passata 3b (ricerca di linea),57.01
passata 4a (derivate),42.98
passata 4b (ricerca di linea),60.14
passata 5a (derivate),42.4
passata 5b (ricerca di linea),58.25
passata 6a (derivate),41.46
passata 6b (ricerca di linea),60.65
passata finale (errori standard),42.3
"periodo 1990s (18,522 nodi, 171,522,981 diadi)",647.49
passata 1a (derivate),60.1
passata 1b (ricerca di linea),89.15
passata 2a (derivate),57.53
passata 2b (ricerca di linea),88.29
passata 3a (derivate),59.33
passata 3b (ricerca di linea),80.46
passata 4a (derivate),57.48
passata 4b (ricerca di linea),79.28
passata 5a (derivate),55.29
passata 5b (ricerca di linea),84.83
passata 6a (derivate),58.97
passata finale (errori standard),58.98
"periodo 2000s (22,460 nodi, 252,214,570 diadi)",829.74
passata 1a (derivate),74.48
passata 1b (ricerca di linea),110.86
passata 2a (derivate),72.71
passata 2b (ricerca di linea),109.37
passata 3a (derivate),72.75
passata 3b (ricerca di linea),103.08
passata 4a (derivate),70.25
passata 4b (ricerca di linea),107.46
passata 5a (derivate),74.12
passata 5b (ricerca di linea),106.71
passata finale (errori standard),72.8
"periodo 2010s (25,116 nodi, 315,394,170 diadi)",974.64
passata 1a (derivate),25.39
passata 1b (ricerca di linea),36.88
passata 2a (derivate),25.72
passata 2b (ricerca di linea),35.37
passata 3a (derivate),24.51
passata 3b (ricerca di linea),34.11
passata 4a (derivate),25.12
passata 4b (ricerca di linea),35.82
passata 5a (derivate),25.33
passata 5b (ricerca di linea),35.17
passata finale (errori standard),25.79
"periodo 2020s (14,179 nodi, 100,514,931 diadi)",329.27
serie temporale esatta,3188.9
ERGM due_scale,1687.39
ERGM gwesp_esp0,3585.46
ERGM decay_alto,8509.82
1940s: proiezione osservata,0.01
1940s: 100 riproiezioni randomizzate,12.21
1950s: proiezione osservata,0.15
1950s: 100 riproiezioni randomizzate,150.8
rete intera: proiezione osservata,8.18
rete intera: 20 riproiezioni randomizzate,1794.84
figura fig1_composition,0.21
figura fig2_mixing,0.05
figura fig3_reversal,0.07
figura fig4_projection,0.1
figura fig5_role_era,0.04
figura figA1_gof,0.28
composizione paper,0.73
compilazione PDF/DOCX,10.11
figura fig1_composition,0.16
figura fig2_mixing,0.04
figura fig3_reversal,0.06
figura fig4_projection,0.1
figura fig5_role_era,0.04
figura figA1_gof,0.13
composizione paper,0.69
compilazione PDF/DOCX,4.31
composizione paper,0.69
compilazione PDF/DOCX,4.31
figura fig1_composition,0.16
figura fig2_mixing,0.04
figura fig3_emergence,0.07
figura fig4_projection,0.11
figura fig5_role_era,0.04
figura figA1_gof,0.14
composizione paper,0.99
compilazione PDF/DOCX,3.82
esportazione dataset,85.01
"copia di tabelle, figure, log e codice",0.58
checksum,1.34
archivio tar.gz,30.13
composizione paper,0.99
compilazione PDF/DOCX,3.9
composizione paper,1.0
compilazione PDF/DOCX,3.88
composizione paper,1.0
compilazione PDF/DOCX,3.91
composizione paper,1.01
compilazione PDF/DOCX,3.91
figura fig1_composition,0.16
figura fig2_mixing,0.04
figura fig3_emergence,0.07
figura fig4_projection,0.11
figura fig5_role_era,0.04
figura figA1_gof,0.13
composizione paper,1.02
compilazione PDF/DOCX,3.91
esportazione dataset,77.72
"copia di tabelle, figure, log e codice",0.04
checksum,1.36
archivio tar.gz,28.43
esportazione dataset,76.64
"copia di tabelle, figure, log e codice",0.04
checksum,1.35
archivio tar.gz,28.26
esportazione dataset,76.61
"copia di tabelle, figure, log e codice",0.04
checksum,1.37
archivio tar.gz,28.36
figura fig1_composition,0.16
figura fig2_mixing,0.04
figura fig3_emergence,0.07
figura fig4_genre,0.07
figura fig5_projection,0.18
figura fig6_role_era,0.04
figura figA1_gof,0.13
composizione paper,1.01
compilazione PDF/DOCX,4.24
composizione paper,1.0
compilazione PDF/DOCX,4.24
esportazione dataset,76.63
"copia di tabelle, figure, log e codice",0.04
checksum,1.37
archivio tar.gz,28.49
composizione paper,1.02
compilazione PDF/DOCX,4.23
composizione paper,1.01
compilazione PDF/DOCX,4.25
composizione paper,1.0
compilazione PDF/DOCX,4.22
esportazione dataset,77.65
"copia di tabelle, figure, log e codice",0.04
checksum,1.36
archivio tar.gz,28.34
composizione paper,1.0
compilazione PDF/DOCX,4.26
composizione paper,1.03
compilazione PDF/DOCX,4.26
composizione paper,1.01
compilazione PDF/DOCX,4.2
esportazione dataset,76.76
"copia di tabelle, figure, log e codice",0.04
checksum,1.36
archivio tar.gz,28.27
gender_cascade,6.81
